City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
523,saint-priest-en-jarez,45.4667,4.3667,17.42,58,0,9.26,FR,1698624822
524,natividad,16.0443,120.7987,26.23,79,77,1.4,PH,1698624825
525,humaita,-7.5061,-63.0208,32.59,32,85,0.93,BR,1698624827
526,syumsi,57.1111,51.6149,-2.07,97,100,3.42,RU,1698624830
527,la cruz,23.9167,-106.9,26.19,73,0,3.79,MX,1698624832
528,dadukou,26.5479,101.7054,15.31,86,46,0.79,CN,1698624834
529,hun,29.1268,15.9477,20.9,48,16,3.25,LY,1698624837
530,al artawiyah,26.5053,45.3444,22.14,28,100,3.38,SA,1698624840
531,gusinje,42.5638,19.8333,9.29,61,0,1.03,ME,1698624842
532,lesozavodsk,45.4794,133.4244,7.54,46,15,3.37,RU,1698624844
533,as sulayyil,20.4607,45.5779,26.14,31,96,4.58,SA,1698624848
534,yaren,-0.5472,166.916,28.36,69,30,2.39,NR,1698624851
535,san juan de miraflores,-12.1629,-76.9635,23.43,70,80,3.78,PE,1698624853
536,taungdwingyi,20.0167,95.55,22.57,87,92,1.3,MM,1698624856
537,tlahualilo de zaragoza,26.1167,-103.45,28.7,40,0,3.08,MX,1698624859
538,chongwe,-15.3292,28.682,22.71,53,100,1.11,ZM,1698624861
539,abqaiq,25.9371,49.6776,22.06,76,69,0.64,SA,1698624863
540,esmeraldas,-19.7625,-44.3139,22.63,60,100,0.89,BR,1698624866
541,jingdezhen,29.2947,117.2079,19.33,79,3,0.73,CN,1698624812
542,berdigestyakh,62.0989,126.6992,-21.97,100,75,0.91,RU,1698624871
543,tucurui,-3.7661,-49.6725,29.87,53,83,0.54,BR,1698624873
544,wolczyn,51.0185,18.0499,12.32,80,64,5.88,PL,1698624876
545,puerto baquerizo moreno,-0.9,-89.6,23.3,78,64,5.55,EC,1698624878
546,miura,35.14,139.6192,20.58,55,0,4.5,JP,1698624880
547,waliso,8.5333,37.9833,12.5,90,70,2.66,ET,1698624883
548,opuwo,-18.0607,13.84,21.82,16,28,2.74,NA,1698624885
549,turochak,52.2576,87.1224,-1.23,97,100,0.78,RU,1698624888
550,ocean city,39.2776,-74.5746,17.21,88,76,1.79,US,1698624620
551,madhogarh,26.276,79.1869,21.68,42,4,0.35,IN,1698624892
552,san carlos de bariloche,-41.1456,-71.3082,-0.14,86,75,9.77,AR,1698624722
553,semera,11.501,41.201,24.51,61,45,4.47,ET,1698624896
554,sainte-adele,45.9501,-74.1325,3.13,82,91,0.67,CA,1698624899
555,poli,-3.3333,36.8,16.29,80,50,1.7,TZ,1698624901
556,idaho falls,43.4666,-112.0341,2.31,43,0,0.0,US,1698624903
557,jayapura,-2.5333,140.7,25.66,81,55,1.92,ID,1698624906
558,oranjemund,-28.55,16.4333,20.44,23,0,4.78,NA,1698624909
559,christchurch,-43.5333,172.6333,17.52,72,75,7.2,NZ,1698624911
560,mhamid,29.82,-5.72,24.56,23,98,6.88,MA,1698624914
561,chania,35.5122,24.0156,19.78,94,20,0.0,GR,1698624916
562,saint-joseph,-21.3667,55.6167,23.21,84,27,4.81,RE,1698624918
563,mossendjo,-2.9506,12.7261,22.31,96,89,1.01,CG,1698624921
564,gamay,12.3854,125.2979,27.21,88,96,4.12,PH,1698624923
565,sacramento,38.4666,-121.3177,23.3,20,0,3.6,US,1698624678
566,paphos,34.7667,32.4167,20.88,56,0,3.6,CY,1698624928
567,taroa,8.7058,171.2275,28.45,80,100,8.95,MH,1698624931
568,kalachinsk,55.0529,74.5751,-2.47,72,100,5.57,RU,1698624933
569,tommot,58.9564,126.2925,-8.76,95,100,0.56,RU,1698624936
570,terrace,54.5163,-128.6035,4.56,55,75,1.54,CA,1698624939
571,kudymkar,59.0173,54.656,-3.74,94,100,3.83,RU,1698624941
572,fort st. john,56.2499,-120.8529,-2.06,74,75,2.57,CA,1698624944
573,murghob,38.1702,73.9667,-1.82,54,13,1.2,TJ,1698624946
574,lagos,6.5833,3.75,27.18,92,41,1.19,NG,1698624925
575,howard springs,-12.497,131.047,31.04,66,84,2.17,AU,1698624951
576,soio,-6.1349,12.3689,25.49,88,45,4.93,AO,1698624953
